,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,m_money_positions_long_all,m_money_positions_short_all,other_rept_positions_long,other_rept_positions_short,prod_merc_net,swap_net,m_money_net,other_rept_net,Close,High,Low,Open,Volume
2012-01-24,478304,86883,228839,132955,9676,83334,43230,37778,25640,-141956,123279,40104,12138,1220.0,1229.5,1203.75,1213.75,102469
2012-01-31,500592,102349,240487,131064,11922,85774,50200,39885,20071,-138138,119142,35574,19814,1199.0,1201.25,1184.25,1186.75,109498
2012-02-07,515753,99467,258831,129739,12535,97303,43070,41553,22124,-159364,117204,54233,19429,1232.0,1239.5,1227.0,1232.0,97375
2012-02-14,549099,100378,273094,130070,13302,107517,36592,44643,23969,-172716,116768,70925,20674,1255.0,1261.75,1245.5,1252.0,121808
2012-02-21,544143,92568,278666,126810,12489,117717,29715,42367,23340,-186098,114321,88002,19027,1271.0,1276.0,1260.0,1271.0,98178
2012-02-28,540310,77685,290150,130180,12557,133101,28268,42244,20520,-212465,117623,104833,21724,1305.25,1307.0,1291.5,1291.5,53192
2012-03-06,568715,76252,322842,130820,11127,158567,18554,45019,24523,-246590,119693,140013,20496,1329.75,1330.5,1310.0,1317.0,2553
2012-03-13,603318,87645,347247,130974,13020,174051,15992,42420,27723,-259602,117954,158059,14697,1348.75,1352.75,1328.5,1329.5,833
2012-03-20,640011,91877,378240,133088,13727,193385,13492,47945,27827,-286363,119361,179893,20118,1345.0,1368.0,1341.75,1367.0,117640
2012-03-27,684581,110607,409985,132897,15259,199944,9122,50673,29068,-299378,117638,190822,21605,1369.75,1387.25,1368.75,1379.75,122644
2012-04-03,753669,142313,457464,129996,14000,216073,7180,59851,32887,-315151,115996,208893,26964,1416.75,1434.25,1414.0,1421.0,100870
2012-04-10,786976,157212,454258,115796,14959,225567,8879,57264,42771,-297046,100837,216688,14493,1426.0,1452.25,1421.75,1431.0,163221
2012-04-17,811832,159583,457959,114247,14095,226338,8226,59831,44538,-298376,100152,218112,15293,1425.75,1434.5,1418.25,1420.25,89852
2012-04-24,815826,159395,476276,113538,11916,238149,6267,59313,41853,-316881,101622,231882,17460,1461.25,1467.5,1433.75,1437.0,56841
2012-05-01,807124,135176,472653,120023,9364,248832,7895,61770,43964,-337477,110659,240937,17806,1497.75,1500.25,1487.5,1500.25,9507
2012-05-08,798732,143181,468154,119378,10419,236853,8589,65161,43502,-324973,108959,228264,21659,1437.75,1466.75,1434.5,1466.75,1806
2012-05-15,790836,149202,469516,118957,9906,223057,5534,67213,41914,-320314,109051,217523,25299,1413.0,1415.75,1380.0,1385.5,138598
2012-05-22,776789,135747,460206,118705,9417,219505,11684,76124,39058,-324459,109288,207821,37066,1382.25,1417.75,1375.0,1410.75,117953
2012-05-29,773983,140000,455779,117487,9230,215629,16126,76533,39726,-315779,108257,199503,36807,1386.75,1402.0,1379.25,1383.0,81906
2012-06-05,762748,146019,441650,118045,8760,195251,16082,74883,40356,-295631,109285,179169,34527,1349.5,1360.25,1340.5,1340.5,81935
2012-06-12,771728,140099,457642,116051,11122,206964,10206,78390,41222,-317543,104929,196758,37168,1435.0,1449.25,1416.25,1425.5,114267
2012-06-19,783333,141457,462218,114737,11247,205830,8677,77166,40678,-320761,103490,197153,36488,1433.75,1451.5,1389.0,1390.0,118151
2012-06-26,767737,134339,461890,114194,13612,221486,6467,65445,42982,-327551,100582,215019,22463,1470.5,1496.75,1466.0,1489.75,43300
2012-07-03,775157,128188,476052,114287,16836,232902,5941,77353,43881,-347864,97451,226961,33472,1572.25,1578.0,1534.5,1545.25,4044
2012-07-10,799500,147822,477507,106619,30682,237531,7701,80546,52554,-329685,75937,229830,27992,1648.75,1672.25,1644.0,1660.25,3756
2012-07-17,833271,166024,496218,104359,35010,237979,7346,84338,55359,-330194,69349,230633,28979,1639.0,1647.75,1616.75,1643.25,30000
2012-07-24,811596,169635,483337,97123,35786,241076,10143,78442,53416,-313702,61337,230933,25026,1649.25,1706.25,1628.5,1702.25,33431
2012-07-31,760359,152549,455454,95956,36577,230411,8563,77968,56690,-302905,59379,221848,21278,1721.0,1742.0,1711.5,1722.0,15532
2012-08-07,752907,155361,436188,90309,40509,225720,12504,77559,58498,-280827,49800,213216,19061,1605.25,1627.5,1603.0,1607.0,2064
2012-08-14,741673,151684,427652,92385,41936,228916,9177,71329,60770,-275968,50449,219739,10559,1680.0,1690.0,1659.25,1659.25,12189
2012-08-21,755189,142402,441669,91740,40914,241466,8534,78700,62528,-299267,50826,232932,16172,1753.5,1754.75,1702.75,1703.75,18311
2012-08-28,742076,139898,422265,95095,40645,220371,8980,74025,61036,-282367,54450,211391,12989,1732.5,1742.0,1710.75,1735.25,8277
2012-09-04,742721,135229,426044,95884,38834,222643,9612,80389,60775,-290815,57050,213031,19614,1771.0,1794.75,1760.5,1778.5,1985
2012-09-11,733037,138784,422699,94314,40003,222068,7029,75041,60265,-283915,54311,215039,14776,1696.5,1715.75,1695.5,1713.0,764
2012-09-18,730121,152000,415865,98544,41561,213890,9218,74904,62539,-263865,56983,204672,12365,1640.0,1669.0,1630.5,1660.0,183122
2012-09-25,725029,162331,409685,95894,54916,201814,11429,67634,40333,-247354,40978,190385,27301,1611.5,1625.5,1604.25,1608.25,107344
2012-10-02,721122,166494,410396,96977,52498,197105,13840,69832,39610,-243902,44479,183265,30222,1530.5,1561.25,1526.5,1559.75,158462
2012-10-09,718506,164937,408430,98551,51826,193759,14952,67593,38565,-243493,46725,178807,29028,1550.0,1574.0,1547.0,1550.5,135427
