,open_interest_all,prod_merc_positions_long,prod_merc_positions_short,swap_positions_long_all,swap__positions_short_all,m_money_positions_long_all,m_money_positions_short_all,other_rept_positions_long,other_rept_positions_short,prod_merc_net,swap_net,m_money_net,other_rept_net,Close,High,Low,Open,Volume
2013-07-16,522786,107045,278506,89436,11887,176628,44854,39190,59176,-171461,77549,131774,-19986,1475.25,1488.0,1453.0,1456.75,33964
2013-07-23,526976,104112,264969,89910,9945,179609,54236,44268,65597,-160857,79965,125373,-21329,1462.5,1526.25,1460.0,1515.0,45710
2013-07-30,490254,112286,236991,88852,10955,151431,54522,42096,58809,-124705,77897,96909,-16713,1350.0,1379.75,1347.75,1370.0,13491
2013-08-06,496026,128229,222115,87610,10560,130132,64515,49754,58684,-93886,77050,65617,-8930,1324.25,1335.0,1318.25,1330.0,689
2013-08-13,514193,143222,245781,86718,9960,129249,69719,52517,51155,-102559,76758,59530,1362,1359.75,1386.5,1358.0,1374.0,449
2013-08-20,545780,140834,295173,89710,15447,149533,47538,58164,54764,-154339,74263,101995,3400,1309.25,1326.75,1304.0,1320.75,11955
2013-08-27,571623,133964,332756,95746,19258,165917,33209,60145,53040,-198792,76488,132708,7105,1414.0,1449.0,1412.0,1425.0,8028
2013-09-03,591014,130348,357494,97635,18557,180968,25332,59780,49654,-227146,79078,155636,10126,1435.5,1467.75,1431.0,1454.0,3790
2013-09-10,611277,143379,361857,99394,15732,179777,24626,53252,55588,-218478,83662,155151,-2336,1403.75,1405.0,1386.25,1390.75,378
2013-09-17,613083,140866,364342,98244,15216,177303,22652,56361,51102,-223476,83028,154651,5259,1342.5,1366.5,1332.0,1349.0,150137
2013-09-24,620379,148384,357596,96763,13765,175148,18407,47505,58940,-209212,82998,156741,-11435,1312.5,1322.75,1305.25,1306.5,73052
2013-10-01,616871,153575,349879,96097,12633,156838,15181,49466,59869,-196304,83464,141657,-10403,1268.0,1278.75,1263.5,1278.5,123503
2013-10-08,623084,169688,358560,94725,13025,153692,19437,47640,52592,-188872,81700,134255,-4952,1288.75,1305.75,1283.75,1296.25,149055
2013-10-15,641740,182983,372908,92997,11957,154604,17635,49107,49931,-189925,81040,136969,-824,1267.0,1276.75,1264.25,1271.0,92847
2013-10-22,652100,183799,382181,95287,13125,159373,21889,50457,48836,-198382,82162,137484,1621,1302.25,1305.5,1292.0,1300.75,117953
2013-10-29,584429,155199,342870,95886,13133,143499,21977,38273,29826,-187671,82753,121522,8447,1279.0,1280.5,1268.0,1270.0,95488
2013-11-05,563699,142357,311501,96486,13641,140055,32484,42057,37890,-169144,82845,107571,4167,1259.25,1271.75,1255.0,1264.75,4988
2013-11-12,577984,134673,329523,96635,10801,149947,24014,44997,40966,-194850,85834,125933,4031,1319.25,1325.0,1304.0,1305.25,1518
2013-11-19,580418,134964,336120,97768,11130,156054,22513,44243,34622,-201156,86638,133541,9621,1276.25,1294.0,1268.25,1285.5,114103
2013-11-26,606008,134058,345508,94809,12148,170742,24286,45985,37647,-211450,82661,146456,8338,1329.25,1330.75,1316.75,1327.0,102374
2013-12-03,617952,133192,342975,90994,10662,181572,24210,47032,44848,-209783,80332,157362,2184,1319.75,1329.0,1311.25,1320.75,92773
2013-12-10,641333,142458,365383,90908,11987,190445,20980,51274,47365,-222925,78921,169465,3909,1338.25,1353.5,1330.5,1342.75,151495
2013-12-17,650861,153258,377872,95970,16445,197686,19665,50915,51955,-224614,79525,178021,-1040,1346.5,1350.0,1328.5,1336.0,110864
2013-12-24,628600,134963,364825,97165,12237,193924,18854,51196,50492,-229862,84928,175070,704,1333.75,1338.0,1325.0,1328.5,20848
2013-12-31,575756,110883,324800,94292,12733,177831,27703,52075,36414,-213917,81559,150128,15661,1312.5,1331.0,1309.0,1327.75,21149
2014-01-07,569064,120229,306439,93733,12533,156686,30553,53606,37476,-186210,81200,126133,16130,1299.5,1305.5,1287.25,1297.0,2600
2014-01-14,594392,116799,313985,92733,15222,168711,29076,58148,44083,-197186,77511,139635,14065,1339.0,1339.0,1314.75,1327.0,125170
2014-01-21,603948,119739,322254,95062,14874,174615,29451,60902,48056,-202515,80188,145164,12846,1280.5,1314.0,1280.0,1313.0,120155
2014-01-28,591635,120563,313550,92975,12986,162118,29013,63939,44094,-192987,79989,133105,19845,1285.5,1290.0,1277.5,1287.25,58970
2014-02-04,624488,134031,336031,91178,12541,176466,23009,59475,47573,-202000,78637,153457,11902,1313.25,1316.0,1291.0,1292.75,114579
2014-02-11,683209,141883,362310,87297,14818,201586,22624,61654,50853,-220427,72479,178962,10801,1334.75,1337.5,1312.5,1323.25,136598
2014-02-18,691005,142126,373058,88244,16264,214467,22569,63260,55827,-230932,71980,191898,7433,1361.0,1361.75,1335.5,1337.25,110545
2014-02-25,704089,150088,396842,92055,13510,217688,23650,65102,47324,-246754,78545,194038,17778,1399.0,1400.0,1377.0,1384.25,75676
2014-03-04,668094,135218,385578,94994,9476,228147,29157,63452,52078,-250360,85518,198990,11374,1418.0,1422.25,1402.25,1404.0,4703
2014-03-11,670093,146330,383567,93078,10367,223542,31692,59067,55360,-237237,82711,191850,3707,1411.5,1430.25,1411.5,1415.25,786
2014-03-18,656246,140904,368659,91975,10877,222369,30651,51547,55353,-227755,81098,191718,-3806,1418.25,1419.5,1384.5,1390.0,86122
2014-03-25,624304,127506,345405,93672,11157,208565,23442,49208,57968,-217899,82515,185123,-8760,1428.0,1436.0,1416.0,1425.75,59859
2014-04-01,638253,138887,361550,94073,11255,213778,27042,54936,60153,-222663,82818,186736,-5217,1484.5,1491.5,1460.5,1463.0,99416
2014-04-08,642179,141221,353309,95471,7814,207032,32125,53835,65094,-212088,87657,174907,-11259,1482.5,1483.5,1462.0,1464.25,97342
2014-04-15,669796,144319,362786,97845,5408,212215,28614,55292,72392,-218467,92437,183601,-17100,1501.25,1509.25,1473.5,1476.25,95184
2014-04-22,662154,159020,349725,97794,4404,197153,29740,48555,76205,-190705,93390,167413,-27650,1479.75,1508.75,1477.25,1502.0,84296
2014-04-29,611142,135544,341768,98410,4515,199043,25270,45808,60722,-206224,93895,173773,-14914,1524.0,1527.5,1503.75,1508.25,41472
2014-05-06,582430,134869,310748,97900,4437,178313,26365,46679,68207,-175879,93463,151948,-21528,1464.0,1471.75,1451.5,1470.0,3019
2014-05-13,590465,146048,310743,92914,4896,175159,27923,52384,72840,-164695,88018,147236,-20456,1502.25,1504.25,1480.0,1484.0,435
2014-05-20,607367,160048,314612,92530,5383,170901,34214,52223,72012,-154564,87147,136687,-19789,1469.75,1501.0,1468.5,1484.0,85714
2014-05-27,618301,166169,323644,91614,5836,171254,27223,57285,77258,-157475,85778,144031,-19973,1488.75,1515.5,1486.5,1510.5,79673
2014-06-03,628560,181463,310060,89140,5394,163677,38796,57493,80085,-128597,83746,124881,-22592,1481.25,1502.0,1475.0,1497.5,94325
2014-06-10,632121,172661,283185,95769,8414,152177,51991,60229,79333,-110524,87355,100186,-19104,1462.5,1475.25,1454.25,1457.0,96312
2014-06-17,616888,170608,241291,95360,8259,139124,66591,58981,83076,-70683,87101,72533,-24095,1398.25,1425.25,1395.75,1421.5,92060
2014-06-24,608364,174162,237510,95566,7413,136585,72013,59975,87143,-63348,88153,64572,-27168,1413.5,1423.0,1407.0,1423.0,60215
2014-07-01,596424,176005,214912,92327,7258,137185,77731,58188,100521,-38907,85069,59454,-42333,1400.0,1409.25,1380.0,1400.5,5871
2014-07-08,606261,185769,202146,88096,8625,129652,81828,60785,104131,-16377,79471,47824,-43346,1329.75,1363.25,1325.5,1362.25,2956
2014-07-15,626175,207287,207093,84914,11380,126538,86225,61150,101581,194,73534,40313,-40431,1180.5,1195.0,1153.25,1194.25,48077
2014-07-22,648970,230117,221540,83415,12065,123900,92830,64877,101599,8577,71350,31070,-36722,1184.0,1196.5,1172.75,1175.0,25581
2014-07-29,610514,219089,215411,82731,8928,122912,85430,61758,102995,3678,73803,37482,-41237,1226.5,1242.25,1219.25,1240.0,24637
2014-08-05,627633,223960,216846,80394,9142,124531,87581,62847,106201,7114,71252,36950,-43354,1222.75,1226.75,1215.5,1226.75,2375
2014-08-12,641181,229607,228214,80450,9632,124172,85110,70648,106875,1393,70818,39062,-36227,1290.0,1315.0,1281.0,1315.0,592
2014-08-19,645199,234168,232539,83055,7617,121615,87611,71306,104560,1629,75438,34004,-33254,1120.25,1122.5,1106.5,1112.5,14811
2014-08-26,648601,241726,223567,83371,10227,118131,92098,72303,108048,18159,73144,26033,-35745,1075.5,1123.0,1072.75,1123.0,11001
2014-09-02,673214,248979,224383,84480,12536,117485,94981,76495,112719,24596,71944,22504,-36224,1097.25,1108.0,1085.0,1090.25,388
2014-09-09,695012,263727,227117,84241,14721,108622,98577,81027,113752,36610,69520,10045,-32725,1076.5,1094.5,1076.0,1090.0,94
2014-09-16,727980,286054,228633,81766,14721,117885,95232,78595,132890,57421,67045,22653,-54295,980.75,999.75,976.75,989.25,122776
2014-09-23,751751,298748,230117,77663,15890,118709,91016,83898,142711,68631,61773,27693,-58813,936.25,944.5,931.0,936.0,84494
2014-09-30,774659,297029,226688,76828,21461,128042,88101,87274,151581,70341,55367,39941,-64307,913.25,930.0,909.75,922.0,174090
2014-10-07,782571,289671,236714,79343,20195,126705,101954,88604,129526,52957,59148,24751,-40922,940.75,955.0,933.25,941.0,186992
2014-10-14,811524,289101,247730,78832,19328,135331,101624,91777,132572,41371,59504,33707,-40795,964.75,970.5,943.25,943.75,225993
2014-10-21,796971,277182,249456,76336,18086,133612,97701,104186,133450,27726,58250,35911,-29264,964.25,966.75,942.75,944.0,169993
2014-10-28,693740,248249,240962,89233,9345,112697,86333,84513,111614,7287,79888,26364,-27101,1008.0,1034.5,1000.0,1004.25,152117
2014-11-04,655299,237371,250338,91786,6109,112103,74276,84427,108962,-12967,85677,37827,-24535,1010.0,1029.0,1005.0,1027.25,9676
2014-11-11,660607,231304,263226,95497,8289,118986,64081,80077,109867,-31922,87208,54905,-29790,1066.5,1075.0,1023.25,1025.75,3897
2014-11-18,669902,246322,276771,96440,7009,111745,65955,74847,100938,-30449,89431,45790,-26091,1023.25,1042.0,1021.0,1036.75,83250
2014-11-25,672574,250353,277624,96197,8792,116504,66236,69628,100654,-27271,87405,50268,-31026,1051.0,1054.0,1033.0,1033.75,98567
2014-12-02,675751,253050,258819,93406,7863,106398,73331,67385,99022,-5769,85543,33067,-31637,995.75,1022.0,995.0,1017.0,116216
2014-12-09,693400,243459,275639,92981,8687,114397,55193,67421,104123,-32180,84294,59204,-36702,1049.25,1050.0,1038.5,1043.0,104304
2014-12-16,695296,236399,268132,91132,8197,117830,62189,69416,102781,-31733,82935,55641,-33365,1023.5,1039.0,1021.5,1034.25,145997
2014-12-23,660066,223934,261891,96035,7554,119041,60808,67487,105757,-37957,88481,58233,-38270,1038.5,1048.0,1033.25,1036.5,68196
2014-12-30,606663,204841,244539,93672,7504,118492,65952,66282,88597,-39698,86168,52540,-22315,1037.75,1049.75,1036.25,1041.5,50456
2015-01-06,609763,206130,248071,94099,7614,121157,64899,68355,92204,-41941,86485,56258,-23849,1051.0,1052.5,1034.0,1037.5,3994
2015-01-13,618995,222581,239955,91341,7338,111750,77949,72974,93629,-17374,84003,33801,-20655,1000.0,1022.25,998.0,1017.5,1454
2015-01-20,648949,237719,231561,90831,8595,101185,85483,80008,103450,6158,82236,15702,-23442,982.0,986.75,972.25,982.0,114400
2015-01-27,682972,273810,243229,92586,8809,89486,95273,75016,102712,30581,83777,-5787,-27696,973.75,985.5,972.25,982.25,101221
2015-02-03,708274,275191,261762,93936,7991,102226,90679,71697,109486,13429,85945,11547,-37789,987.0,999.0,959.75,959.75,183638
2015-02-10,726768,279939,256998,95999,6406,90146,97900,70671,104030,22941,89593,-7754,-33359,969.0,986.0,967.0,978.25,171876
2015-02-17,702704,261350,257742,98717,6826,93014,84163,72192,109648,3608,91891,8851,-37456,1007.75,1009.0,991.5,992.0,104614
2015-02-24,677947,236151,250325,98081,5815,101549,78215,74670,111070,-14174,92266,23334,-36400,1016.0,1029.0,999.0,999.25,111284
2015-03-03,671988,218491,245853,103866,5685,99816,78031,93102,110176,-27362,98181,21785,-17074,1008.75,1015.0,998.5,1011.75,8847
2015-03-10,678241,243008,260141,103308,5446,84788,81382,92566,104365,-17133,97862,3406,-11799,980.0,989.0,978.0,987.25,1138
2015-03-17,716017,263521,277208,101586,5825,80507,94847,101939,98124,-13687,95761,-14340,3815,954.5,973.0,953.5,968.0,113419
2015-03-24,728285,261763,291504,110092,5097,82536,95806,102654,97960,-29741,104995,-13270,4694,981.75,985.0,975.75,983.75,90487
2015-03-31,763912,274182,301309,111689,4955,85022,106956,103504,95856,-27127,106734,-21934,7648,973.25,981.0,951.25,967.0,173826
2015-04-07,753955,272032,306402,112680,5718,77695,102638,106559,92654,-34370,106962,-24943,13905,971.0,984.0,970.0,977.75,107655
2015-04-14,794398,295330,308716,115979,4751,69960,126724,110491,90942,-13386,111228,-56764,19549,960.25,961.5,948.5,948.75,142042
2015-04-21,749699,260347,297769,114701,4408,75942,103560,107917,91047,-37422,110293,-27618,16870,975.25,977.0,968.75,976.75,67881
2015-04-28,692811,235474,277026,112646,3508,80110,102024,106424,88394,-41552,109138,-21914,18030,977.5,988.5,972.0,972.0,78014
2015-05-05,688679,228534,274572,118359,3646,84620,100328,107010,92245,-46038,114713,-15708,14765,993.5,994.5,981.5,982.5,2787
2015-05-12,693980,232697,274707,119732,3278,80444,118929,118130,87069,-42010,116454,-38485,31061,967.0,991.25,967.0,982.0,1362
2015-05-19,692395,240677,245449,118837,3092,66485,142086,114991,85241,-4772,115745,-75601,29750,946.25,956.0,942.0,953.25,119636
2015-05-26,710533,243962,237825,117389,3069,67245,157174,113283,78308,6137,114320,-89929,34975,922.5,930.5,920.5,923.75,106436
2015-06-02,748391,255287,265985,126352,4103,73142,156035,113170,79106,-10698,122249,-82893,34064,940.75,944.5,925.25,926.0,117943
2015-06-09,744119,249429,276145,128786,5453,70751,148247,109730,70315,-26716,123333,-77496,39415,951.5,955.0,943.25,946.0,134068
2015-06-16,737549,231287,276550,127197,5263,81604,140178,111911,73249,-45263,121934,-58574,38662,957.5,959.0,938.75,939.0,129787
2015-06-23,701538,200943,303582,127448,5390,90440,85655,101826,76393,-102639,122058,4785,25433,987.5,996.0,978.0,989.5,107174
2015-06-30,665965,186104,355367,134202,5816,110319,54429,82325,58099,-169263,128386,55890,24226,1056.25,1059.25,993.75,1000.5,20171
2015-07-07,665404,179358,369280,133004,4669,113848,50614,79288,43929,-189922,128335,63234,35359,1002.0,1033.75,1001.0,1029.0,2096
2015-07-14,676444,190577,383695,121661,5257,114017,40508,83200,49663,-193118,116404,73509,33537,1039.0,1060.0,1039.0,1052.5,34977
2015-07-21,679722,188287,387890,119510,4311,117221,34842,83954,52412,-199603,115199,82379,31542,1018.75,1020.0,1008.25,1011.0,30275
2015-07-28,634083,184285,347131,109177,3015,104990,34290,70899,49628,-162846,106162,70700,21271,974.75,976.75,962.75,963.0,26707
2015-08-04,642573,193532,349837,107419,4804,98758,38213,77408,50150,-156305,102615,60545,27258,976.0,986.5,971.0,977.5,2126
2015-08-11,648712,191805,371962,109100,6650,100159,33895,82032,43913,-180157,102450,66264,38119,1014.0,1039.5,1013.0,1039.0,824
2015-08-18,658363,213381,351854,104535,5309,83655,51235,88844,53688,-138473,99226,32420,35156,913.25,929.25,912.25,925.25,14548
2015-08-25,655907,223678,329748,101559,7088,72565,53969,88551,60236,-106070,94471,18596,28315,894.25,908.0,888.0,893.0,16197
2015-09-01,656453,223010,316665,101615,6890,71519,74504,91658,57957,-93655,94725,-2985,33701,884.75,894.75,878.75,891.75,1376
2015-09-08,654678,216765,317930,101177,6368,72456,76442,97820,59009,-101165,94809,-3986,38811,890.75,895.0,882.25,884.0,923
2015-09-15,669738,221876,316745,99640,6686,73608,85784,99521,60288,-94869,92954,-12176,39233,889.0,894.5,883.0,886.5,106777
2015-09-22,688550,232743,318366,100690,6306,72258,99574,100585,55717,-85623,94384,-27316,44868,861.75,873.5,861.0,871.25,118016
2015-09-29,699001,233596,342458,100471,7516,68925,86004,107690,50694,-108862,92955,-17079,56996,884.25,884.75,873.5,876.25,106478
2015-10-06,704546,232487,353067,103918,6432,72736,80963,102860,50945,-120580,97486,-8227,51915,888.0,895.5,879.25,879.25,134181
2015-10-13,733840,223958,360426,101441,8624,88446,78724,104160,50749,-136468,92817,9722,53411,914.0,915.0,886.0,886.25,239517
2015-10-20,733699,251446,369743,83038,8893,78684,66755,107245,55034,-118297,74145,11929,52211,896.0,901.75,889.5,890.25,149191
2015-10-27,657291,236318,328408,89938,8716,75343,71688,66410,46262,-92090,81222,3655,20148,891.25,895.25,882.0,885.75,97849
2015-11-03,637483,238522,308080,87045,8723,64006,83809,67573,46527,-69558,78322,-19803,21046,878.5,887.5,875.0,878.5,7186
2015-11-10,668620,260882,297052,85283,8612,63234,112164,69929,49944,-36170,76671,-48930,19985,864.5,875.25,859.25,875.0,1793
2015-11-17,679275,260901,301137,85094,7958,58904,105874,72736,52852,-40236,77136,-46970,19884,864.0,865.0,857.75,859.5,73486
2015-11-24,692979,268591,304465,87497,7935,55768,105952,73133,59008,-35874,79562,-50184,14125,863.75,869.25,861.25,864.0,94127
2015-12-01,688485,252859,309084,99073,8450,66721,96493,66535,62971,-56225,90623,-29772,3564,889.25,891.75,880.0,881.0,120518
2015-12-08,698467,259209,328529,96847,6752,77525,85737,60298,62866,-69320,90095,-8212,-2568,876.75,887.0,872.75,886.0,155245
2015-12-15,692992,260964,310902,91214,6954,68305,91256,60006,63242,-49938,84260,-22951,-3236,867.25,877.5,866.5,873.5,115700
2015-12-22,680534,263322,310923,93777,5398,62878,92363,59682,64678,-47601,88379,-29485,-4996,885.25,895.0,885.0,891.0,64155
2015-12-29,646657,255949,274080,93335,4351,53186,109641,58328,62156,-18131,88984,-56455,-3828,870.0,876.25,865.0,866.5,55929
2016-01-05,658069,257802,253315,94193,4203,55531,125289,62185,71342,4487,89990,-69758,-9157,867.75,873.25,866.25,866.25,5460
2016-01-12,671806,252684,274555,101136,4333,67091,112276,59579,79892,-21871,96803,-45185,-20313,890.75,899.5,875.5,881.5,2427
2016-01-19,665786,244382,291904,102527,5219,70235,87061,63145,85413,-47522,97308,-16826,-22268,883.5,888.0,880.5,881.0,120808
2016-01-26,685068,259407,305264,104284,4982,68513,89706,66208,85519,-45857,99302,-21193,-19311,876.5,882.5,875.5,879.75,95467
2016-02-02,715617,262366,313880,108272,5090,80874,96663,67559,92297,-51514,103182,-15789,-24738,886.25,889.5,878.25,880.25,142056
2016-02-09,736229,279113,299087,109040,4848,65511,120853,69384,84581,-19974,104192,-55342,-15197,863.25,866.5,859.5,862.75,136517
2016-02-16,746016,272891,310764,109751,5065,77622,110694,66710,89219,-37873,104686,-33072,-22509,879.75,882.75,873.25,875.5,168027
2016-02-23,713828,250343,302065,101835,5236,82684,95126,67015,83950,-51722,96599,-12442,-16935,869.25,880.25,868.0,880.0,110272
2016-03-01,701548,249441,263690,103007,4900,58003,127930,76020,84084,-14249,98107,-69927,-8064,850.75,858.25,849.75,853.0,9982
2016-03-08,696854,248794,289242,102927,6681,66138,106256,72913,75087,-40448,96246,-40118,-2174,877.5,877.5,870.75,872.0,787
2016-03-15,710513,229901,326194,110132,8848,102438,78923,71985,82039,-96293,101284,23515,-10054,892.0,895.5,888.5,894.75,101683
2016-03-22,749752,219647,350737,119497,12064,125456,72603,76915,84503,-131090,107433,52853,-7588,910.25,914.0,900.0,901.5,181690
2016-03-29,763700,204358,359253,127377,13028,139667,69512,75893,77190,-154895,114349,70155,-1297,916.0,917.0,907.0,908.25,127052
2016-04-05,772217,207421,358339,136284,10708,139732,69454,75295,84513,-150918,125576,70278,-9218,904.75,916.5,904.0,911.5,124866
2016-04-12,840936,238476,405154,137673,12567,159592,65574,81219,92040,-166678,125106,94018,-10821,936.25,938.75,924.75,927.5,220988
2016-04-19,895583,248724,459544,136580,13494,178900,49016,90310,87483,-210820,123086,129884,2827,985.5,987.0,953.0,954.25,213324
2016-04-26,807402,197540,437186,125802,13275,181961,32882,88208,56207,-239646,112527,149079,32001,1017.75,1018.75,991.75,999.25,88136
2016-05-03,794400,181528,435967,127311,12450,192263,31271,89182,56650,-254439,114861,160992,32532,1021.5,1047.5,1015.0,1035.0,5036
2016-05-10,834128,183707,473881,129803,12680,215951,23421,98789,61803,-290174,117123,192530,36986,1076.0,1082.0,1018.5,1018.5,1003
2016-05-17,856259,210169,495053,122079,12202,205228,17721,96137,57642,-284884,109877,187507,38495,1080.25,1086.75,1062.75,1063.75,134099
2016-05-24,869742,235328,517502,117325,11086,193910,13354,111728,67707,-282174,106239,180556,44021,1054.75,1069.75,1043.5,1057.5,143916
2016-05-31,885635,240428,525781,112475,11319,200896,14910,112581,64878,-285353,101156,185986,47703,1078.5,1096.0,1077.0,1086.0,115268
2016-06-07,872273,230862,533508,113585,10520,196159,15060,125901,64823,-302646,103065,181099,61078,1141.25,1148.75,1129.0,1136.75,159669
2016-06-14,882500,222608,541801,117553,5724,195597,17371,127558,58676,-319193,111829,178226,68882,1169.5,1176.5,1152.75,1168.0,128076
2016-06-21,865099,222934,532660,113634,7087,188907,13452,128159,61131,-309726,106547,175455,67028,1133.25,1151.75,1128.75,1145.0,96099
2016-06-28,781072,194138,497989,101457,6251,176956,10353,134096,48625,-303851,95206,166603,85471,1150.5,1165.5,1128.25,1130.5,48614
2016-07-05,758851,194036,472688,101748,4557,161792,19755,135414,49217,-278652,97191,142037,86197,1117.0,1150.25,1110.0,1150.25,2887
2016-07-12,766037,203274,472793,99705,5611,148582,19769,143416,56123,-269519,94094,128813,87293,1107.25,1107.25,1080.0,1080.0,757
2016-07-19,771578,214586,471893,95796,3794,140945,27669,150317,61447,-257307,92002,113276,88870,1044.0,1079.0,1041.0,1076.5,45502
2016-07-26,702484,198477,427349,87880,4045,128722,19026,124782,53007,-228872,83835,109696,71775,993.5,1002.75,980.5,984.0,40125
2016-08-02,682021,200430,407105,86585,7818,120374,23353,124220,56540,-206675,78767,97021,67680,985.25,998.5,976.0,994.25,5283
2016-08-09,674104,191331,401779,87781,8867,118622,19197,125612,54990,-210448,78914,99425,70622,1022.0,1032.0,1011.5,1018.0,865
2016-08-16,670757,197245,399908,87491,7953,111003,22493,118731,50321,-202663,79538,88510,68410,1019.5,1028.5,1012.25,1022.25,14832
2016-08-23,669874,182297,405334,88412,8074,134135,20689,114850,48917,-223037,80338,113446,65933,1034.25,1036.75,1026.5,1030.5,8486
2016-08-30,632779,186929,369603,87767,8634,117387,24123,100125,46843,-182674,79133,93264,53282,965.5,986.0,960.5,984.0,11672
2016-09-06,628449,186937,355163,87715,8935,104750,27203,102673,48132,-168226,78780,77547,54541,974.25,978.0,965.5,969.0,1159
2016-09-13,625277,186430,340368,87157,9967,102602,29716,96861,50795,-153938,77190,72886,46066,968.25,982.5,968.25,982.5,256
2016-09-20,650105,192281,356962,86606,10356,110243,23461,93339,54905,-164681,76250,86782,38434,989.75,994.0,970.75,973.5,116064
2016-09-27,645605,193614,330921,91498,9774,95210,40598,93717,49859,-137307,81724,54612,43858,952.5,953.5,934.0,946.75,153261
2016-10-04,651042,190216,342974,92810,7758,100243,38252,89683,46734,-152758,85052,61991,42949,963.5,972.0,960.25,970.75,123524
2016-10-11,652265,182441,349493,96172,8118,95771,26982,95225,45179,-167052,88054,68789,50046,954.25,960.75,951.5,953.5,147788
2016-10-18,687868,190684,377072,92943,7257,112057,23785,100967,49466,-186388,85686,88272,51501,972.5,987.0,971.5,977.5,178280
2016-10-25,639067,163250,361442,119737,3092,119324,19858,74635,49124,-198192,116645,99466,25511,990.75,997.0,981.25,991.25,176985
2016-11-01,615146,143329,358206,123784,1811,133244,21436,76682,48853,-214877,121973,111808,27829,984.25,1005.25,983.0,1002.0,11397
2016-11-08,620641,139611,369344,125894,3157,144227,19106,76377,48827,-229733,122737,125121,27550,1001.75,1011.25,989.0,989.5,3434
2016-11-15,617685,151460,354833,134904,2596,124841,28088,72278,49691,-203373,132308,96753,22587,989.5,992.75,978.75,985.5,86739
2016-11-22,668531,159037,379580,136671,3974,145457,29813,81266,56665,-220543,132697,115644,24601,1030.0,1033.25,1015.25,1020.0,131446
2016-11-29,721091,166752,413537,144865,3957,171058,33687,89149,62347,-246785,140908,137371,26802,1042.5,1058.75,1039.25,1055.0,126698
2016-12-06,736998,178851,414040,144460,4180,159782,35024,88205,57528,-235189,140280,124758,30677,1047.75,1061.75,1039.0,1042.5,135200
2016-12-13,742646,192565,410717,131245,3742,155222,33363,85360,55225,-218152,127503,121859,30135,1028.0,1038.75,1025.25,1031.25,132890
2016-12-20,716574,199510,395657,124953,4061,146628,34635,77732,53151,-196147,120892,111993,24581,1005.25,1024.0,1004.0,1021.25,124535
2016-12-27,677946,191750,380500,121821,3339,135016,27723,69173,42733,-188750,118482,107293,26440,1014.75,1015.25,989.25,989.75,82741
2017-01-03,629759,176731,351687,114861,4412,126044,27790,69359,41783,-174956,110449,98254,27576,986.75,1002.75,986.5,996.0,6581
2017-01-10,628625,177196,348947,118864,5313,128922,29174,67703,48349,-171751,113551,99748,19354,1005.5,1005.75,990.0,993.75,2449
2017-01-17,682682,180899,387260,123601,5607,163971,26750,78616,61072,-206361,117994,137221,17544,1069.25,1075.5,1052.0,1054.0,201105
2017-01-24,728991,180622,414746,124807,5699,210540,24437,65058,70150,-234124,119108,186103,-5092,1058.5,1068.0,1051.25,1059.75,95242
2017-01-31,722216,191391,410217,123875,4596,185695,26228,66365,57383,-218826,119279,159467,8982,1024.5,1026.5,1019.5,1023.0,83518
2017-02-07,729898,190351,409882,131547,4967,180101,23793,65312,61087,-219531,126580,156308,4225,1042.75,1043.25,1032.0,1038.25,131436
2017-02-14,772254,190736,427901,133665,5661,195440,20736,66081,64464,-237165,128004,174704,1617,1045.0,1056.0,1042.5,1055.0,118663
2017-02-21,756976,195860,417621,130243,6802,184924,23329,66638,61464,-221761,123441,161595,5174,1026.25,1044.5,1026.0,1033.25,143010
2017-02-28,684523,167806,372828,129481,5324,163164,33474,67906,49404,-205022,124157,129690,18502,1025.0,1045.0,1012.5,1013.0,17713
2017-03-07,676564,166229,367885,133054,4580,160472,36407,67665,48351,-201656,128474,124065,19314,1014.75,1027.0,1012.0,1026.75,3547
2017-03-14,676014,203365,350383,118829,7534,138945,45401,62087,50153,-147018,111295,93544,11934,987.25,996.5,983.0,996.5,112349
2017-03-21,699616,226936,345174,122661,6835,120463,59824,63231,52913,-118238,115826,60639,10318,1001.5,1008.0,995.0,1000.0,103325
2017-03-28,708598,249948,340316,114771,6907,109724,72926,58283,43416,-90368,107864,36798,14867,972.0,976.5,970.0,971.25,92837
2017-04-04,741939,279892,334069,104310,7209,91210,95568,71427,44912,-54177,97101,-4358,26515,937.75,942.75,936.5,939.25,120200
2017-04-11,768817,295387,321151,97506,7569,83350,117313,79583,45566,-25764,89937,-33963,34017,939.25,945.0,929.75,941.75,136337
2017-04-18,771596,311712,320352,90511,8012,84774,133964,77498,40981,-8640,82499,-49190,36517,946.0,955.0,939.75,952.5,154742
2017-04-25,673587,280565,261723,90209,9703,81578,134053,52886,44148,18842,80506,-52475,8738,954.5,961.0,954.0,959.0,84731
2017-05-02,641899,258068,247525,92011,9168,84803,136286,54273,42573,10543,82843,-51483,11700,958.0,967.75,955.0,958.5,6949
2017-05-09,640178,251364,249510,92506,9148,95545,133898,52925,44459,1854,83358,-38353,8466,965.25,968.0,956.25,956.25,449
2017-05-16,647710,252092,250968,94363,8881,93423,132735,52619,42130,1124,85482,-39312,10489,976.25,977.25,964.0,964.75,94232
2017-05-23,666788,273018,254590,91793,8636,78255,148030,64129,42285,18428,83157,-69775,21844,948.25,959.25,947.0,956.25,91457
